N,Voters,Tellers,Threshold,Setup,Voting (avg.),Tallying (Mixing),Tallying (Decryption),Notification,Verification (avg.),Coercion Mitigation
118,100,3,3,16.86459446,0.00863414,2.973758936,1.239073992,0.059755802,0.001666291,0.003808975
119,100,3,3,16.1633389,0.011063986,4.511534691,1.614432335,0.136767387,0.002863605,0.003468513
120,100,3,3,14.73709083,0.010398214,2.779649496,1.054410458,0.061445475,0.001581194,0.002556324
121,100,3,3,15.1065886,0.008439023,2.886383057,1.041318178,0.065201283,0.001538393,0.002537012
122,100,3,3,15.44491339,0.009127526,2.95011425,1.204223394,0.058987379,0.001604104,0.005399227
123,100,3,3,15.7578547,0.010049298,3.055805922,1.261316061,0.064194202,0.001738498,0.002755165
124,100,3,3,15.16131639,0.008180175,2.989531994,1.103276014,0.087797403,0.001739516,0.002417088
125,100,3,3,15.60088062,0.008623002,3.227855921,1.399577856,0.08283329,0.001967547,0.002487183
126,100,3,3,16.44692802,0.009513485,3.157124758,1.336448908,0.072855949,0.001728528,0.002471685
127,100,3,3,15.91934729,0.008156133,3.002752066,1.358161211,0.095867872,0.002306447,0.003329277
128,100,3,3,14.91032553,0.008453889,2.882773638,1.245370388,0.071677685,0.001939478,0.002851009
129,100,3,3,16.20102429,0.011612561,3.495734453,1.342293501,0.06334877,0.001636822,0.002581358
130,100,3,3,16.73835588,0.008618875,3.028465748,1.143348455,0.067524672,0.002367198,0.002798319
131,100,3,3,15.29905391,0.007988367,2.929663658,1.13492465,0.081905842,0.001692476,0.002991438
132,100,3,3,17.55173612,0.011237032,4.230322123,1.544041395,0.071657896,0.001906617,0.003735065
133,100,3,3,15.99321413,0.007791154,2.77548933,1.042111158,0.058597565,0.001495349,0.002452612
134,100,3,3,13.71589208,0.007838154,3.287914515,1.070377588,0.060149908,0.001536455,0.002601862
135,100,3,3,14.23481584,0.00787127,2.765030622,1.101279259,0.062063456,0.001615674,0.002537966
